ToLID,BioProject_ID,Organism
 bAcaChl1,PRJNA562166,Acanthisitta chloris    Acanthisitta chloris (Rifleman) genome
,PRJEB40702,Acanthopagrus latus Acanthopagrus latus (yellowfin sea bream)
,PRJEB48396,Accipiter gentilis
,PRJEB35914,Acipenser ruthenus
,PRJEB39769,Acomys russatus
 bArcTri1,PRJNA922139,Acridotheres tristis
,PRJNA566188,Alca torda
 fAloSap1,PRJNA776885,Alosa sapidissima
 sAmbRad1,PRJNA593039,Amblyraja radiata
,PRJEB60704,Ammodytes marinus
 bAmmCau1,PRJNA922976,Ammospiza caudacuta
 bAmmNel1,PRJNA922164,Ammospiza nelsoni
fAnaTes1,PRJEB30393,Anabas Testudineus
 fAnaAna1,PRJNA562167,Anableps anableps
,PRJEB64746,Anas acuta
bAnaPla1,PRJNA641113,Anas platyrhynchos
 fAngAng1,PRJNA562168,Anguilla anguilla
 fAntMac1,PRJNA562173,Antennarius maculatus
 fAplTae1,PRJNA562176,Aplochiton taeniatus
,PRJEB53556,Apodemus sylvaticus
 bApuApu2,PRJNA776865,Apus apus
,PRJEB33202,Aquila chrysaetos chrysaetos
 bAraAra1,PRJNA935292,Ara ararauna
 fArcCen1,PRJNA533105,Archocentrus centrarchus
,PRJEB59966,Argentina silus
 mArvNil1,PRJNA562178,Arvicanthis niloticus
,PRJEB39551,Arvicola amphibius
 fAstCal1.2,PRJNA557691,Astatotilapia calliptera
,PRJEB33975,Asterias rubens
 bAytFul2,PRJNA562180,Aythya fuligula
,PRJEB60647,Balaenoptera acutorostrata
 mBalMus1,PRJNA557693,Balaenoptera musculus
 mBalRic1,PRJNA927325,Balaenoptera ricei
 bBalReg1,PRJNA562181,Balearica regulorum gibbericeps
,PRJEB55341,Barbatula barbatula
,PRJEB51453,Barbus barbus
,PRJEB30367,Betta splendens
 aBomBom1,PRJNA922148,Bombina bombina
,PRJEB60198,Borostomias antarcticus
,PRJNA603765,Bos indicus x Bos taurus
 bBucAby1,PRJNA562182,Bucorvus abyssinicus
,PRJEB42238,Bufo bufo
 mCalJac1,PRJNA560230,Callithrix jacchus
 bCalAnn1,PRJNA510144,Calypte anna
,PRJEB43409,Canis lupus
,PRJEB44830,Caprimulgus europaeus
,PRJEB62001,Carassius carassius
 sCarCar2,PRJNA562191,Carcharodon carcharias
 bCarCri1,PRJNA562192,Cariama cristata
 bCatUst1,PRJNA562193,Catharus ustulatus
,PRJEB45171,Cervus elaphus
,PRJEB33883,Chanos chanos
 fCheRos1,PRJNA562194,Chelmon rostratus
,PRJEB63499,Chelon labrosus
 rCheMyd1,PRJNA562195,Chelonia mydas
